restaurant_id,name,area,address,latitude,longitude,cuisine,price_level,avg_price_per_person,rating,review_count,veg_available,ambience_tags,suitable_for,opening_hours,source_url,description,data_confidence,serves_both
R00001,Forest & Plate,Thamel,"Mandala Street, Kathmandu 44600",27.7151457,85.3109602,Nepali / Multi-cuisine,medium,800,4.7,905.0,True,"casual,local-favourite",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Forest%20%26%20Plate%20Thamel%20Kathmandu,"Forest & Plate is a nepali / multi-cuisine spot in Thamel, Kathmandu, rated 4.7/5 on Google from 905 reviews. Data sourced from Google Places.",verified_google_places,True
R00002,Samaya Rooftop Garden,Thamel,"Narsingh Chowk Marg, Kathmandu 44600",27.714379,85.3105522,Nepali / Multi-cuisine,medium,800,4.7,580.0,True,"rooftop,view,garden-seating","family,date",Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Samaya%20Rooftop%20Garden%20Thamel%20Kathmandu,"Samaya Rooftop Garden is a nepali / multi-cuisine spot in Thamel, Kathmandu, rated 4.7/5 on Google from 580 reviews. Data sourced from Google Places.",verified_google_places,True
R00003,Jasper Restaurant,Thamel,"P876, Thabahi Road, Kathmandu 44600",27.7141684,85.3119532,Asian Fusion,medium,800,4.7,4397.0,False,"casual,local-favourite",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Jasper%20Restaurant%20Thamel%20Kathmandu,"Jasper Restaurant is a asian fusion spot in Thamel, Kathmandu, rated 4.7/5 on Google from 4397 reviews. Data sourced from Google Places.",verified_google_places,False
R00004,Roadhouse Cafe,Thamel,"Chaksibari Road, Kathmandu 44600",27.7143996,85.3103329,Italian / Pizza,medium,800,4.5,3711.0,False,"cozy,casual",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Roadhouse%20Cafe%20Thamel%20Kathmandu,"Roadhouse Cafe is a italian / pizza spot in Thamel, Kathmandu, rated 4.5/5 on Google from 3711 reviews. Data sourced from Google Places.",verified_google_places,False
R00005,4Stories,Thamel,"Saat Ghumti Marg, Kathmandu 44600",27.7154124,85.3090176,Nepali / Multi-cuisine,medium,800,4.4,1215.0,True,"casual,local-favourite",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=4Stories%20Thamel%20Kathmandu,"4Stories is a nepali / multi-cuisine spot in Thamel, Kathmandu, rated 4.4/5 on Google from 1215 reviews. Data sourced from Google Places.",verified_google_places,True
R00006,Nepalaya Rooftop Restaurant,Thamel,"Kwabahal-17, Hotel Nepalaya, Kathmandu 44600",27.7115942,85.3113844,Indian,medium,800,4.7,1053.0,False,"rooftop,view","family,date",Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Nepalaya%20Rooftop%20Restaurant%20Thamel%20Kathmandu,"Nepalaya Rooftop Restaurant is a indian spot in Thamel, Kathmandu, rated 4.7/5 on Google from 1053 reviews. Data sourced from Google Places.",verified_google_places,False
R00007,Yala Cafe & Coffee Shop,Thamel,"Kwabahal, Thamel Marg, Kathmandu 44600",27.7123197,85.3114448,Vegetarian / Indian,medium,800,4.8,1805.0,False,"cozy,casual",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Yala%20Cafe%20%26%20Coffee%20Shop%20Thamel%20Kathmandu,"Yala Cafe & Coffee Shop is a vegetarian / indian spot in Thamel, Kathmandu, rated 4.8/5 on Google from 1805 reviews. Data sourced from Google Places.",verified_google_places,False
R00008,Sicily By Ts,Thamel,"Chaksibari Marg, Kathmandu 44600",27.7136021,85.3101836,Italian,medium,800,4.7,1682.0,False,"casual,local-favourite",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Sicily%20By%20Ts%20Thamel%20Kathmandu,"Sicily By Ts is a italian spot in Thamel, Kathmandu, rated 4.7/5 on Google from 1682 reviews. Data sourced from Google Places.",verified_google_places,False
R00009,Rosemary Kitchen and Coffee Shop,Thamel,"P865, JP Rd, Kathmandu 44600",27.7118426,85.3094098,Nepali / Multi-cuisine,medium,800,4.5,1359.0,True,"casual,local-favourite",family,Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Rosemary%20Kitchen%20and%20Coffee%20Shop%20Thamel%20Kathmandu,"Rosemary Kitchen and Coffee Shop is a nepali / multi-cuisine spot in Thamel, Kathmandu, rated 4.5/5 on Google from 1359 reviews. Data sourced from Google Places.",verified_google_places,True
R00010,Graveaty Restaurant and Bar,Thamel,"Chhusya Galli, Kathmandu 44600",27.7123015,85.3131888,Nepali / Multi-cuisine,medium,800,4.8,828.0,True,"bar,nightlife","family,friends",Hours vary by day; check source link before visiting,https://www.google.com/maps/search/?api=1&query=Graveaty%20Restaurant%20and%20Bar%20Thamel%20Kathmandu,"Graveaty Restaurant and Bar is a nepali / multi-cuisine spot in Thamel, Kathmandu, rated 4.8/5 on Google from 828 reviews. Data sourced from Google Places.",verified_google_places,True
